
(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.663: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.664: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory
QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
GL_VERSION       : 4.6.0 NVIDIA 580.126.09
GL_RENDERER      : NVIDIA GeForce RTX 5090 D/PCIe/SSE2
Qt profile/ver   : Compatibility 4.6
Starting RTSP pipeline: uri=rtsp://127.0.0.1:8554/p02cam latency=0ms dropOnLatency=true reconnectInterval=5s reconnectAttempts=0 rtp=tcp stallTimeout=2000ms
Protocol set: 0x4
Linked nvurisrcbin src pad to nvvideoconvert sink pad.
First NvBufSurface: numFilled=1 memType=2 colorFormat=19 layout=0 size=3840x2160 pitch=15360 dataPtr=0x719d22000000
Registered GL texture with CUDA: 3840x2160
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:27 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=1273
fps=15 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:28 state=LIVE last-frame-age=41ms reconnects=0 stalls=0 frames=1288
fps=16 ingest-to-paint avg=0.3 ms max=2 ms | tex=3840x2160 | uptime=00:01:29 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1303
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:31 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=1326
fps=15 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:32 state=LIVE last-frame-age=9ms reconnects=0 stalls=0 frames=1341
fps=15 ingest-to-paint avg=0.1 ms max=1 ms | tex=3840x2160 | uptime=00:01:33 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=1356
fps=16 ingest-to-paint avg=0.1 ms max=1 ms | tex=3840x2160 | uptime=00:01:34 state=LIVE last-frame-age=0ms reconnects=0 stalls=0 frames=1371
fps=16 ingest-to-paint avg=0.6 ms max=2 ms | tex=3840x2160 | uptime=00:01:35 state=LIVE last-frame-age=444ms reconnects=0 stalls=0 frames=1386
fps=15 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:36 state=LIVE last-frame-age=0ms reconnects=0 stalls=0 frames=1401
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:37 state=LIVE last-frame-age=5ms reconnects=0 stalls=0 frames=1416
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:38 state=LIVE last-frame-age=75ms reconnects=0 stalls=0 frames=1430
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:39 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=1446
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:40 state=LIVE last-frame-age=7ms reconnects=0 stalls=0 frames=1461
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:41 state=LIVE last-frame-age=3ms reconnects=0 stalls=0 frames=1476
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:42 state=LIVE last-frame-age=74ms reconnects=0 stalls=0 frames=1490
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:43 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=1513
fps=16 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:44 state=LIVE last-frame-age=44ms reconnects=0 stalls=0 frames=1528
fps=16 ingest-to-paint avg=0.2 ms max=1 ms | tex=3840x2160 | uptime=00:01:45 state=LIVE last-frame-age=35ms reconnects=0 stalls=0 frames=1543
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:46 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1558
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:47 state=LIVE last-frame-age=35ms reconnects=0 stalls=0 frames=1573
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:48 state=LIVE last-frame-age=39ms reconnects=0 stalls=0 frames=1588
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:49 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=1603
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:50 state=LIVE last-frame-age=13ms reconnects=0 stalls=0 frames=1618
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:51 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=1633
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:52 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1648
fps=16 ingest-to-paint avg=0.3 ms max=2 ms | tex=3840x2160 | uptime=00:01:54 state=LIVE last-frame-age=8ms reconnects=0 stalls=0 frames=1671
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:55 state=LIVE last-frame-age=10ms reconnects=0 stalls=0 frames=1686
fps=15 ingest-to-paint avg=0.7 ms max=1 ms | tex=3840x2160 | uptime=00:01:56 state=LIVE last-frame-age=8ms reconnects=0 stalls=0 frames=1701
fps=17 ingest-to-paint avg=0.7 ms max=1 ms | tex=3840x2160 | uptime=00:01:57 state=LIVE last-frame-age=3ms reconnects=0 stalls=0 frames=1716
fps=15 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:58 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=1731
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:59 state=LIVE last-frame-age=9ms reconnects=0 stalls=0 frames=1746
fps=16 ingest-to-paint avg=0.8 ms max=1 ms | tex=3840x2160 | uptime=00:02:00 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=1761
fps=15 ingest-to-paint avg=0.3 ms max=2 ms | tex=3840x2160 | uptime=00:02:01 state=LIVE last-frame-age=3ms reconnects=0 stalls=0 frames=1776
fps=15 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:02 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=1791
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:03 state=LIVE last-frame-age=3ms reconnects=0 stalls=0 frames=1806
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:02:04 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=1821
fps=15 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:05 state=LIVE last-frame-age=409ms reconnects=0 stalls=0 frames=1836
fps=16 ingest-to-paint avg=0.4 ms max=2 ms | tex=3840x2160 | uptime=00:02:06 state=LIVE last-frame-age=1ms reconnects=0 stalls=0 frames=1851
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:07 state=LIVE last-frame-age=5ms reconnects=0 stalls=0 frames=1866
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:08 state=LIVE last-frame-age=41ms reconnects=0 stalls=0 frames=1888
fps=15 ingest-to-paint avg=0.7 ms max=1 ms | tex=3840x2160 | uptime=00:02:09 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=1903
fps=16 ingest-to-paint avg=0.6 ms max=2 ms | tex=3840x2160 | uptime=00:02:10 state=LIVE last-frame-age=35ms reconnects=0 stalls=0 frames=1918
fps=16 ingest-to-paint avg=0.6 ms max=2 ms | tex=3840x2160 | uptime=00:02:11 state=LIVE last-frame-age=36ms reconnects=0 stalls=0 frames=1933
fps=15 ingest-to-paint avg=0.2 ms max=1 ms | tex=3840x2160 | uptime=00:02:12 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=1948
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:02:13 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=1963
fps=14 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:14 state=LIVE last-frame-age=36ms reconnects=0 stalls=0 frames=1978
fps=17 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:02:15 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1993
